Model,Embedding,Train_ACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Test_ACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC
Logistic Regression,RDKit,0.7909,0.7819,0.9372,0.7735,0.7763,0.6854,0.7786,0.7266,0.9344,0.7431,0.7327,0.6677
Random Forest,RDKit,0.9741,0.9746,0.9922,0.9713,0.9729,0.961,0.8234,0.7711,0.9482,0.7809,0.7748,0.735
MLP,RDKit,0.8788,0.8708,0.9644,0.8627,0.8659,0.8186,0.8156,0.7677,0.9466,0.7714,0.7683,0.7243
Logistic Regression,Morgan FP,0.9575,0.9616,0.9872,0.9581,0.9598,0.9362,0.7341,0.6907,0.9225,0.6773,0.6835,0.6006
Random Forest,Morgan FP,0.9701,0.9716,0.9909,0.9677,0.9696,0.955,0.8156,0.7768,0.9458,0.7724,0.7723,0.7234
MLP,Morgan FP,0.8875,0.8769,0.9685,0.854,0.8628,0.8329,0.7844,0.7248,0.9392,0.7176,0.7195,0.6798
Logistic Regression,MACCS,0.8004,0.7867,0.9399,0.7767,0.7805,0.699,0.7782,0.7364,0.9334,0.7292,0.7306,0.6653
Random Forest,MACCS,0.9539,0.9524,0.9862,0.9507,0.9515,0.9307,0.8168,0.7921,0.9454,0.7821,0.7861,0.7243
MLP,MACCS,0.8908,0.8859,0.9681,0.8759,0.88,0.8368,0.8117,0.7697,0.9443,0.7615,0.7642,0.7172
Logistic Regression,Mol2Vec,0.8133,0.8073,0.9432,0.7921,0.7988,0.7179,0.7708,0.727,0.931,0.726,0.7254,0.6534
Random Forest,Mol2Vec,0.9805,0.9812,0.9941,0.979,0.98,0.9707,0.7996,0.7464,0.9414,0.7451,0.7446,0.6988
MLP,Mol2Vec,0.9038,0.8794,0.9714,0.8967,0.8869,0.8555,0.8023,0.7447,0.9421,0.7686,0.7546,0.7029
Logistic Regression,ChemBERTa,0.8531,0.8685,0.9551,0.8683,0.8681,0.7789,0.7641,0.7186,0.9303,0.7134,0.7157,0.6446
Random Forest,ChemBERTa,0.9825,0.983,0.9947,0.9812,0.982,0.9737,0.7735,0.7688,0.9275,0.6877,0.7199,0.6526
MLP,ChemBERTa,0.8655,0.8708,0.96,0.8133,0.8353,0.7977,0.7883,0.7843,0.936,0.7172,0.7408,0.6798
